d,n1,n2,p_l
9,9,11,4.1262e-05
9,9,12,5.268e-05
9,9,13,6.5455e-05
9,9,14,8.0969e-05
9,9,15,9.8185e-05
11,9,0,4.8e-08
11,9,1,1.15e-07
11,9,2,2.08e-07
11,9,3,3.66e-07
11,9,4,6.6e-07
11,9,5,1.013e-06
11,9,6,1.572e-06
11,9,7,2.447e-06
11,9,8,3.434e-06
11,9,9,4.859e-06
11,9,10,6.705e-06
11,9,11,9.216e-06
11,9,12,1.1933e-05
11,9,13,1.5783e-05
11,9,14,2.0621e-05
11,9,15,2.5652e-05
13,9,0,7e-09
13,9,1,5e-09
13,9,2,1.8e-08
13,9,3,5.2e-08
13,9,4,8.6e-08
13,9,5,1.38e-07
13,9,6,2.4e-07
13,9,7,4.07e-07
13,9,8,6.12e-07
13,9,9,9.06e-07
13,9,10,1.315e-06
13,9,11,1.969e-06
13,9,12,2.663e-06
13,9,13,3.674e-06
13,9,14,5.066e-06
13,9,15,6.588e-06
3,10,0,0.000561705
3,10,1,0.000695643
3,10,2,0.000836205
3,10,3,0.000994647
3,10,4,0.001165364
3,10,5,0.001344028
3,10,6,0.001572006
3,10,7,0.00178149
3,10,8,0.002004305
3,10,9,0.002239962
3,10,10,0.00248992
3,10,11,0.002748875
3,10,12,0.003093265
3,10,13,0.003384424
3,10,14,0.00368684
3,10,15,0.00399998
5,10,0,7.2688e-05
5,10,1,0.00010075
5,10,2,0.000137135
5,10,3,0.000178565
5,10,4,0.000229687
5,10,5,0.000286329
5,10,6,0.000351473
5,10,7,0.000425189
5,10,8,0.000507454
5,10,9,0.000599987
5,10,10,0.00070173
5,10,11,0.000815366
5,10,12,0.000935532
5,10,13,0.001062047
5,10,14,0.001197139
5,10,15,0.001342326
7,10,0,7.078e-06
7,10,1,1.1482e-05
7,10,2,1.7388e-05
7,10,3,2.5038e-05
7,10,4,3.5196e-05
7,10,5,4.8151e-05
7,10,6,6.3542e-05
7,10,7,8.2575e-05
7,10,8,0.000104586
7,10,9,0.000130592
7,10,10,0.000160754
7,10,11,0.000195338
7,10,12,0.000234536
7,10,13,0.000279861
7,10,14,0.000329724
7,10,15,0.000384158
9,10,0,6.54e-07
9,10,1,1.147e-06
9,10,2,2.061e-06
9,10,3,3.31e-06
9,10,4,5.077e-06
9,10,5,7.513e-06
9,10,6,1.0603e-05
9,10,7,1.4901e-05
9,10,8,2.0491e-05
9,10,9,2.6739e-05
9,10,10,3.5348e-05
9,10,11,4.5362e-05
9,10,12,5.7144e-05
9,10,13,7.0608e-05
9,10,14,8.6501e-05
9,10,15,0.000105989
11,10,0,5.3e-08
11,10,1,1.01e-07
11,10,2,1.93e-07
11,10,3,4.16e-07
11,10,4,6.64e-07
11,10,5,1.076e-06
11,10,6,1.8e-06
11,10,7,2.696e-06
11,10,8,3.815e-06
11,10,9,5.351e-06
11,10,10,7.379e-06
11,10,11,1.0085e-05
11,10,12,1.3232e-05
11,10,13,1.7166e-05
11,10,14,2.2127e-05
11,10,15,2.8437e-05
13,10,0,4e-09
13,10,1,4e-09
13,10,2,2.2e-08
13,10,3,4.1e-08
13,10,4,8e-08
13,10,5,1.72e-07
13,10,6,2.87e-07
13,10,7,4.55e-07
13,10,8,7.11e-07
13,10,9,1.042e-06
13,10,10,1.475e-06
13,10,11,2.203e-06
