rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(1.5), np.float64(1.9))",0.5,1.5,1.9,2.4,2.07,4.97
"(np.float64(0.5), np.float64(1.5), np.float64(2.0))",0.5,1.5,2.0,2.4,2.11,5.06
"(np.float64(0.5), np.float64(1.6), np.float64(0.5))",0.5,1.6,0.5,2.4,1.63,3.91
"(np.float64(0.5), np.float64(1.6), np.float64(0.6))",0.5,1.6,0.6,2.4,1.67,4.01
"(np.float64(0.5), np.float64(1.6), np.float64(0.7))",0.5,1.6,0.7,2.4,1.71,4.1
"(np.float64(0.5), np.float64(1.6), np.float64(0.8))",0.5,1.6,0.8,2.4,1.74,4.18
"(np.float64(0.5), np.float64(1.6), np.float64(0.9))",0.5,1.6,0.9,2.4,1.78,4.27
"(np.float64(0.5), np.float64(1.6), np.float64(1.0))",0.5,1.6,1.0,2.4,1.81,4.34
"(np.float64(0.5), np.float64(1.6), np.float64(1.1))",0.5,1.6,1.1,2.4,1.85,4.44
"(np.float64(0.5), np.float64(1.6), np.float64(1.2))",0.5,1.6,1.2,2.4,1.88,4.510000000000001
"(np.float64(0.5), np.float64(1.6), np.float64(1.3))",0.5,1.6,1.3,2.4,1.92,4.61
"(np.float64(0.5), np.float64(1.6), np.float64(1.4))",0.5,1.6,1.4,2.4,1.96,4.7
"(np.float64(0.5), np.float64(1.6), np.float64(1.5))",0.5,1.6,1.5,2.4,1.99,4.78
"(np.float64(0.5), np.float64(1.6), np.float64(1.6))",0.5,1.6,1.6,2.4,1.99,4.78
"(np.float64(0.5), np.float64(1.6), np.float64(1.7))",0.5,1.6,1.7,2.4,2.03,4.87
"(np.float64(0.5), np.float64(1.6), np.float64(1.8))",0.5,1.6,1.8,2.4,2.06,4.94
"(np.float64(0.5), np.float64(1.6), np.float64(1.9))",0.5,1.6,1.9,2.4,2.1,5.04
"(np.float64(0.5), np.float64(1.6), np.float64(2.0))",0.5,1.6,2.0,2.4,2.13,5.11
"(np.float64(0.5), np.float64(1.7), np.float64(0.5))",0.5,1.7,0.5,2.4,1.65,3.96
"(np.float64(0.5), np.float64(1.7), np.float64(0.6))",0.5,1.7,0.6,2.4,1.69,4.06
"(np.float64(0.5), np.float64(1.7), np.float64(0.7))",0.5,1.7,0.7,2.4,1.73,4.15
"(np.float64(0.5), np.float64(1.7), np.float64(0.8))",0.5,1.7,0.8,2.4,1.76,4.22
