rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime,num_benchmarks,num_rows
"(0.5, 1.6, 0.9)",0.5,1.6,0.9,1.7979820256853176,1.689695600257176,3.038365142414637,4,4
"(0.5, 1.6, 1.0)",0.5,1.6,1.0,1.7979820256853176,1.7111217498409097,3.0784845938392382,4,4
"(0.5, 1.6, 1.1)",0.5,1.6,1.1,1.7979820256853176,1.7380591328783273,3.127307099266921,4,4
"(0.5, 1.6, 1.2)",0.5,1.6,1.2,1.7979820256853176,1.7626116766747277,3.1682252888328004,4,4
"(0.5, 1.6, 1.3)",0.5,1.6,1.3,1.7979820256853176,1.7815035147693201,3.204144620358123,4,4
"(0.5, 1.6, 1.4)",0.5,1.6,1.4,1.7979820256853176,1.8050844843289782,3.2431211345723545,4,4
"(0.5, 1.6, 1.5)",0.5,1.6,1.5,1.7979820256853176,1.8295669772533996,3.292604265814551,4,4
"(0.5, 1.6, 1.6)",0.5,1.6,1.6,1.7979820256853176,1.8471041229937595,3.3213839758871755,4,4
"(0.5, 1.6, 1.7)",0.5,1.6,1.7,1.7979820256853176,1.8725325173888427,3.3670594595658487,4,4
"(0.5, 1.6, 1.8)",0.5,1.6,1.8,1.7979820256853176,1.890452842058355,3.3988184813047724,4,4
"(0.5, 1.6, 1.9)",0.5,1.6,1.9,1.7979820256853176,1.917174099890027,3.4499394658186584,4,4
"(0.5, 1.6, 2.0)",0.5,1.6,2.0,1.7979820256853176,1.9415845458739116,3.4922304874112715,4,4
"(0.5, 1.7, 0.5)",0.5,1.7,0.5,2.1901924405151587,1.6154960787670718,3.5374743455260145,4,4
"(0.5, 1.7, 0.6)",0.5,1.7,0.6,2.0022534959552285,1.6394956825833547,3.2817352625608183,4,4
"(0.5, 1.7, 0.7)",0.5,1.7,0.7,1.851934138835037,1.6665806994288994,3.0854440523100823,4,4
"(0.5, 1.7, 0.8)",0.5,1.7,0.8,1.7979820256853176,1.68487026136577,3.0304369340947903,4,4
"(0.5, 1.7, 0.9)",0.5,1.7,0.9,1.7979820256853176,1.7103103618937578,3.0752382758413455,4,4
